log_discount_price,log_actual_price,log_no_of_ratings,discount_price,predicted_price,actual_price,price_gap,price_action
-0.06650528839102476,-0.08549648198275948,0.6344424764816348,-0.36000006405107265,1911.4014154662518,1789.0,122.40141546625182,Raise Price
-0.27691481981070265,-0.4980685004802492,-0.454600178992191,-0.40327626224611374,918.6648770559259,1050.0,-131.3351229440741,Lower Price
0.47055087631104564,0.5377148177453777,0.6070978691393953,-0.1723544686773744,4046.7934285045303,4000.0,46.79342850453031,Keep Same
0.1795891763763857,0.314877068805355,-0.9697749853926392,-0.29075814693900687,3148.7378536795936,3000.0,148.73785367959363,Raise Price
0.8244605521685794,0.7948993103938838,1.111315814521522,0.052162447558498914,5871.2988693303605,5575.0,296.2988693303605,Raise Price
1.000319977543298,1.7845872185142087,-0.4869531660995824,0.21124575212347005,9714.080633490674,20000.0,-10285.919366509326,Lower Price
-1.2850171517328002,-1.548245147468101,0.8442518733214727,-0.500388050995786,-598.7344795819663,270.0,-868.7344795819663,Lower Price
-0.3273759334878531,-0.27590377610880235,-0.05727482983039949,-0.41193150188512195,1567.2789757105716,1399.0,168.27897571057156,Raise Price
0.603373516518917,0.5755092715243377,0.7449700800904858,-0.10051597967360613,4460.646008377154,4200.0,260.64600837715443,Raise Price
0.016382864383428997,-0.3953430604860091,0.125357785775524,-0.3392274889174529,1050.930325764164,1199.0,-148.06967423583592,Lower Price
-1.1739323310878529,-1.2465716487320502,0.9416712267623754,-0.4950218024196009,34.061761171997205,399.0,-364.9382388280028,Lower Price
-0.23891167200269225,0.00045569312650309876,-0.6941428225093839,-0.3963520705349072,2307.5100497693747,1999.0,308.51004976937475,Raise Price
-0.7366767102482202,-0.5366097502885511,-0.06629303694514742,-0.4638629397191713,1336.756426555688,999.0,337.756426555688,Raise Price
-0.5734703982552636,-0.5436147149938624,-1.036879595616598,-0.4465524604411549,1135.8065797017334,990.0,145.80657970173343,Raise Price
0.9272177990416212,1.1572771646995004,0.23779772586798936,0.1404458918763828,7464.439464032341,8900.0,-1435.5605359676592,Lower Price
-0.923103894778082,-1.1553108024851306,0.5205171619531834,-0.4794423710693861,-137.29534470017825,449.0,-586.2953447001782,Lower Price
-0.14356555335909837,-0.3333242375080346,0.3513962094755098,-0.3773105433290891,1256.601733466708,1299.0,-42.39826653329192,Keep Same
1.0583393500993294,1.6355415282349854,-0.5217047892161497,0.2726979535604284,9694.344396577506,16500.0,-6805.655603422494,Lower Price
